workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch2-train,whisper-large-v2_batch16-inf,"(None, None)","(6.786479122550425, 3.222953203178974)","(9.406211943799793, 2.699668417762691)","(11.612776141325265, 2.1556336783737478)","(14.235388764345933, 1.9832724264502792)","(None, None)","(None, None)","(None, None)","(None, None)","(2.933728252272466, 3.794756608581193)"
bert-base-cased_batch2-train,whisper-large-v2_batch8-inf,"(3.535273756215488, 3.486398784375821)","(6.810390114080546, 2.937430780056879)","(9.479152816727026, 2.4716278765394186)","(11.811152934066438, 2.04401501164589)","(14.328742133825045, 1.7682391300335507)","(None, None)","(None, None)","(None, None)","(None, None)","(4.097679926665536, 3.6609177458514104)"
bert-base-cased_batch2-train,whisper-large-v2_batch2-inf,"(3.674722789705637, 2.679721439954592)","(7.055105543200053, 2.362576025868042)","(9.76449457207722, 2.234489412342937)","(11.979154744737183, 1.9818485278417426)","(14.613523308077156, 1.643621926786853)","(None, None)","(None, None)","(None, None)","(None, None)","(9.205269824663969, 2.7022192870213675)"
bert-base-cased_batch2-train,bert-base-cased_batch16-inf,"(3.419019880967456, 98.68618995085748)","(6.654129900188051, 89.81072663175549)","(9.246584656108638, 73.82883939038688)","(11.526384027939116, 61.108997896273074)","(14.135988959755323, 50.65506679364753)","(None, None)","(None, None)","(None, None)","(None, None)","(4.865189006935723, 94.14353540547974)"
bert-base-cased_batch2-train,bert-base-cased_batch8-inf,"(3.4328870580157917, 93.18181818181817)","(6.658864360950806, 81.74454828660437)","(9.353507565337003, 70.54016272984694)","(11.68856404047651, 61.853725995536976)","(14.209378669158701, 49.37032763032462)","(None, None)","(None, None)","(None, None)","(None, None)","(7.311292331177439, 84.5306359126345)"
bert-base-cased_batch2-train,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(10.708857261296117, 73.0702112649909)","(13.1039343842112, 67.08138048572646)","(15.368718254719042, 61.45390956782413)","(None, None)","(None, None)","(None, None)","(None, None)","(19.73923089618749, 70.3711649860545)"
bert-base-cased_batch2-train,vit-base-patch16-224_batch2-inf,"(4.054142418099785, 62.58745706653098)","(7.635354002776492, 64.24234510674414)","(10.88737381745151, 61.43856143856144)","(13.36591691187472, 59.102648807736195)","(15.73794491719279, 54.62114904246461)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
bert-base-cased_batch2-train,vit-base-patch16-224_batch16-inf,"(3.9690000208894736, 83.10021218423081)","(7.492718074505596, 78.7885460350505)","(10.534005537567978, 73.8974522651747)","(12.987889214991736, 69.2098715502765)","(15.506685682317809, 64.8093262201146)","(None, None)","(None, None)","(None, None)","(None, None)","(18.87148518588413, 78.562874251497)"
bert-base-cased_batch2-train,wav2vec2-base-960h_batch2-inf,"(3.7438311872482837, 50.95739712521405)","(7.0860776743129685, 46.270555529378505)","(9.877101711528312, 39.075245712466675)","(12.144559433253892, 34.40061654872837)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(12.996485644188052, 35.897060973826584)"
bert-base-cased_batch2-train,wav2vec2-base-960h_batch16-inf,"(None, None)","(6.870229007633587, 57.83827957622564)","(9.556497745474124, 49.28791015747538)","(11.785479419425329, 41.793903282438684)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(6.314894650555589, 62.064497780024965)"
