workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
mobilenet_batch16-train,wav2vec2-base-960h_batch16-inf,"(362.2873732924726, 121.08209777673285)","(380.68153959303754, 119.22503725782414)","(376.503986604123, 114.3126673418143)","(392.2674708728385, 104.40688274498872)","(368.2705248990579, 100.49760952288028)","(388.7266093094201, 94.58978568066765)","(368.7501173466514, 88.52314600947541)","(392.79417641573747, 72.44401853300863)","(397.79694019471486, 49.91549500542165)","(332.97812323700873, 123.28869604249272)"
mobilenet_batch16-train,wav2vec2-base-960h_batch8-inf,"(375.64240026620325, 60.61141024509371)","(375.26187259046225, 65.48205600940908)","(383.9970560839016, 60.10825321331134)","(392.06090266449155, 58.68527882629442)","(408.189478579575, 53.41838785379958)","(381.20728804449175, 56.37888802222314)","(379.2312279531419, 48.24920950931023)","(379.0167052669584, 41.1522633744856)","(386.67960679475806, 27.83896644458559)","(334.19870063123494, 64.99550395178974)"
mobilenet_batch16-train,bert-base-cased_batch2-inf,"(394.709792366203, 81.41642269622194)","(348.6953913825852, 75.23834063385726)","(419.39903187505706, 66.60583941605839)","(370.6357803516374, 59.713701431492844)","(404.5821675552974, 50.725267089377226)","(387.406873347753, 41.94197069807527)","(365.85609926948865, 33.085944139142256)","(376.347057198121, 22.591876208897485)","(373.84016761448663, 11.75239475167029)","(369.1095794063863, 81.39372822299651)"
vit_h_14_batch2-train,whisper-large-v2_batch16-inf,"(None, None)","(1.8729729996155478, 21.683925211510374)","(None, None)","(3.370779605553175, 18.221904764010855)","(4.0095868316727215, 16.685397240024702)","(4.6488189984082675, 13.993186812440351)","(5.140153119737154, 11.280408504113788)","(5.723643674806239, 7.764282416350222)","(6.297537044704583, 4.302029628662795)","(4.403411636116039, 19.743715077105914)"
vit_h_14_batch2-train,whisper-large-v2_batch8-inf,"(0.9834240027767266, 10.402122840991433)","(1.8908755650217899, 9.293177183896638)","(2.654727799485217, 8.84463708006758)","(3.402202859679134, 8.331159547771719)","(4.013237237277988, 7.411324936230226)","(4.642414522125829, 6.34303828454685)","(5.155357219903968, 5.344749302717779)","(5.75040831167322, 3.916130179010873)","(6.284240747186226, 2.0578875784007713)","(4.848436784675335, 7.907065116216584)"
vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(1.0005269047012924, 1.5562744301089242)","(1.9208419880146281, 1.5137531083376934)","(None, None)","(None, None)","(4.069884859815733, 1.2730776218910023)","(4.691771305230097, 1.1497229502560644)","(5.203240031736073, 0.9858619735808134)","(5.779573008616261, 0.7948941555986017)","(6.279949387374459, 0.48046198985898675)","(5.358850265180852, 1.323363141124473)"
vit_h_14_batch2-train,bert-base-cased_batch16-inf,"(0.8989437411042025, 92.64510499910766)","(1.7514064324381702, 84.79898357382703)","(None, None)","(3.183673469387755, 57.761732851985556)","(3.8073394495412844, 47.99572640792258)","(4.472045349334871, 38.014646053702194)","(5.047689640597147, 28.046247493726813)","(5.66946470345397, 18.078396470997948)","(6.273325848833328, 9.042592313022338)","(1.9036539580138543, 83.37646114035871)"
vit_h_14_batch2-train,resnet-50_batch8-inf,"(None, None)","(1.974510859809729, 85.54269811044382)","(2.8039254956939716, 82.7371254515832)","(3.5893424140628594, 81.6355058535733)","(4.242965609647164, 79.80049875311721)","(4.879040455377109, 78.64260705628871)","(5.39568345323741, 71.54013413775151)","(5.963266279716944, 66.84981684981685)","(6.437167646235657, 52.523889825744796)","(6.45099171962257, 77.13644168537841)"
vit_h_14_batch2-train,resnet-50_batch2-inf,"(None, 60.91582351100449)","(2.004008016032064, 64.0772438007461)","(2.8146361077603537, 64.72348442868226)","(3.6166365280289328, 59.87901158617861)","(4.313443565780014, 64.20404573438874)","(4.958677685950414, 64.81687014428412)","(5.387931034482758, 62.57366334511947)","(6.008583690987124, 60.5181347150259)","(6.472491909385114, 47.95139173988012)","(6.618133686300464, 54.5692393945057)"
vit_h_14_batch2-train,resnet-50_batch16-inf,"(1.022532228024687, 87.96505497815936)","(None, None)","(None, None)","(3.592814371257485, 83.95478804650578)","(4.237560192616372, 82.1464992791082)","(4.849870867259429, 78.45112756704113)","(5.381063237033928, 76.59644233133864)","(5.933410185122398, 69.51036257866782)","(6.333762809011764, 51.57586796931059)","(6.406307749168413, 81.59415987006409)"
